Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Potage de légumes verts;Nuggets de poulet;Carottes;Gouda;Yaourt nature sucré Le P'tit Gallo
;Nuggets de poulet;Ratatouille et pommes de terre;Saint-Paulin;Banane
Coleslaw sauce cocktail;Nuggets de poulet;Chou-fleur béchamel;;Polenta crèmeuse au chocolat blanc
;Nuggets de poulet;Jardinière de légumes et pomme de terre;Edam;Mangue
Rillettes de saumon;Nuggets de poulet;Purée de pommes de terre;Bûche de lait vache et crème;Banane
Taboulé;Nuggets de poulet;Brocolis au curry;Port Salut;Pomme
Potage parmentier;Nuggets de poulet;Butternut béchamel;Chaussée aux moines;Banane
Rillettes de sardine et pain de mie;Nuggets de poulet;Purée de pommes de terre;Brillat savarin;Poire
Rillettes de poisson blanc et  sardine;Nuggets de poulet;;Saint-Nectaire;Poire
Concombre façon tzatziki;Nugget's de poulet;Haricots verts;Edam;Gaufre au sucre
Carottes râpées vinaigrette;Nugget's de poulet;Gratin de brocolis;Carré;"Fruit de saison ""Banane"""
Velouté de potiron;Nugget's de poulet;Petits pois;Yaourts aux fruits mixés;Pomme
Velouté d'asperges;Nugget's de poulet;Haricots verts;Riz au lait;Petit Beurre
Tomates vinaigrette à la ciboulette;Nugget's de poulet;Purée de courgettes;Brie;Eclair au chocolat
Potage de légumes;Nugget's de poulet;Purée de potiron;Rondelé;Mousse au chocolat
Betteraves vinaigrette;Nugget's de poulet;Petits pois;Mélusin;Flan nappé caramel
Bouillon alphabet;Nugget's de poulet;Haricots verts;P'tit Cabray;"Fruit de saison ""Clémentine"""
Coleslaw;Nugget's de poulet;Petits pois;Camembert;Flan nappé caramel
Tomates vinaigrette à la ciboulette;Nugget's de poulet;Purée de courgettes;Brie;Abricots
Bouillon alphabet;Nugget's de poulet;Purée de potiron;Camembert;Flan nappé caramel
Salade de coquillettes au thon;Nugget's de poulet;Chou Romanesco et lardons;Mélusin;Compote allégée pomme-vanille
Betteraves vinaigrette;Nugget's de poulet;Haricots verts;Liégeois au chocolat;Palet Breton
Carottes râpées vinaigrette;Nugget's de poulet;Purée de potiron;Fol Epi;Crème aux œufs
Taboulé;Nugget's de poulet;Haricots vert;P'tit Louis;Crème chocolat-noisette
Coleslaw;Nugget's de poulet;Petits pois;Camembert;Flan nappé caramel
Rillettes de sardine;Nugget's de poulet;Purée de pommes de terre;Camembert;Pêche
Taboulé;Nugget's de poulet;Purée de salsifis;Emmental;Poire
Rillettes de sardine;Nugget's de poulet;Purée de pommes de terre;Camembert;Pêche
Betteraves vinaigrette;Nuggets de poulet et ketchup;Petits pois;Leerdamer;Pomme
Salade de perles au surimi;Nuggets de poulet et ketchup;Brocolis à la Vache Qui Rit;Compote de pommes;Madeleine longue
Dips de carottes sauce fromage blanc;Nuggets' de poulet et ketchup;Pomme smile;;Milk Shake vanille
Velouté de patate douce;Nugget's de poulet et sauce barbecue;Gratin de chou-fleur;Port Salut;Pomme
;Nuggets de poulet sauce ketchup;Jardinière de légumes et pomme de terre;Emmental;Pomme
Potage de potiron et carottes;Nugget's de poulet sauce ketchup;Chou-fleur à la Vache Qui Rit;Compote pomme-clémentine;Biscuit palmier
Velouté de potiron;Nugget's de poulet sauce ketchup;Haricots plats;Rondelé;Cake poire-chocolat
Mâche et emmental;Nuggets de volaille;Purée de pommes de terre;Fromage frais nature sucré Malo;
Tomates Bio dés d'emmental;Nuggets et ketchup du Chef;Coquillette Bio;;Compote pomme ananas
;Œuf à la coque;Macaronis et épinards à la béchamel;Fromage blanc sucré;Pomme
Salade Iceberg vinaigrette;Œuf à la coque et mouillettes;Purée de pommes de terre;Crème chocolat saveur noisettes;
Carottes râpées;Œuf dur béchamel;Pâtes;Crème dessert chocolat;
Carottes râpées;Œuf dur béchamel;Macaronis et fromage râpé;Gâteau chocolat et crème fouettée;
Concombre au fromage blanc;Œuf dur béchamel;Riz;Flan vanille caramel;
Concombre en salade vinaigrette au pesto Rouge;Œuf dur Bio mayonnaise;Salade composée: coquillettes, emmental, tomates;;Lacté chocolat
Tomates vinaigrette;Œufs durs mayonnaise;Taboulé;Yaourt aux fruits mixés;
Tomates vinaigrette;Œufs durs mayonnaise;Taboulé;Yaourt aux fruits mixés;
Tartine surimi-paprika;Omelette;Ratatouille et pommes de terre;Compote de pommes;Madeleine
Betteraves vinaigrette + mâche;Omelette;Coquillettes et emmental râpé;;Crème dessert chocolat
Carottes râpées vinaigrette;Omelette;Pomme paillasson;Gouda;Glace vanille-fraise
;Omelette;Carotte et penne;Yaourt nature sucré;Kiwi
;Omelette;Haricots verts et noisettes de polenta;Fromage blanc sucré;Banane
;Omelette;Gratin de brocoli et pomme de terre;Yaourt vanille;Clémentine
;Omelette;Panais / Pommes de terre;Yaourt aux fruits mixés;Banane
Salade Iceberg et croûtons;Omelette;Coquillettes;Flan vanille nappé caramel;
Salade verte et mozzarella;Omelette;Pommes paillasson;Flan vanille nappé caramel;
Concombre et rondelles de radis;Omelette à la piperade;Fusili et emmentatl râpé;;Lait gélifié saveur vanille
Tomates Bio Vinaigrette;Omelette à la piperade;Semoule Bio;Yaourt aromatisé vanille;
Concombre vinaigrette;Omelette à la piperade;Coquillettes et emmental râpé;;Flan nappé caramel
Concombre façon tzatzki;Omelette à la piperade;Macaronis semi-complets;Emmental râpé;Flan nappé caramel
Betteraves vinaigrette;Omelette au fromage;Pommes smile;Yaourt aux fruits mixés;Kiwi
;Omelette aux œufs Bio;Haricots verts et Pommes de terre;Yaourt aux fruits mixés;Orange
Betterave vinaigrette;Omelette Bio;Tortis Bio et fromage râpé;;Crème dessert au chocolat
Dip de carottes et sauce fromage blanc et fines herbes;Omelette bio sauce tomate;Pomme smile;Yaourt nature sucré Bio Le P'tit Gallo;Galette des rois
Melon;Omelette sauce tomate;Coquillettes et emmental râpé;;Crème dessert choco-noisette
Salade verte, crumble graines de courge;Omelette sauce tomate;Tortis;Cantal;Gâteau au chocolat et lapin en chocolat
Betteraves vinaigrette;Omelette sauce tomate;Purée de butternut;Saint-Nectaire;Pêche
;Omelette sauce tomate;Carottes et crozets au sarrazin;Yaourt nature sucré;Clémentine
Salade verte;Omelette sauce tomate;Boulgour;Crème dessert chocolat;
Tomates vinaigrette;Omelette sauce tomate;Pommes smile;Camembert;Abricot
Salade de tomate vinaigrette ciboulette;Omelette sauce tomate;Pommes noisette;Crème dessert vanille Le P'tit Gallo;
Salade de tomate vinaigrette basilic;Omelette sauce tomate;Pomme noisette;Crème dessert chocolat Le P'tit Gallo;
Carottes râpées vinaigrette;Omelette sauce tomate;Pommes noisettes;Crème dessert vanille;
Salade Iceberg;Paëlla au poulet;Riz;Mélusin;Flan nappé caramel
Bouillon alphabet;Pain de thon;;Flan nappé caramel;Banane
Bouillon alphabet;Pain de thon;;Flan nappé caramel;Banane
Carottes et chou blanc sauce blanche;Pain pita kebab (émincé de dinde);Pomme de terre noisette;Yaourt miel et amandes;
;Pané crousti fromage;Carottes;Fromage blanc sucré;Banane
Tartine thon-ciboulette;Pané fromager;Haricots verts;Yaourt aromatisé;Banane
Bouillon alphabet;Panismile;Haricots verts;P'tit Louis;Compote allégée de pommes
Cervelas;Panismile poulet kebab;Ratatouille /Pommes de terre;Tomme noire;Liégeois au chocolat
Potage fermier au fromage frais;Parmentier aux lentilles corail;;;Kiwi
Salade Iceberg;Parmentier bœuf-potiron;;Fol Epi;Tarte au chocolat
Houmous de lentilles corail et pain de mie;Parmentier de bœuf à la carotte;;Coulommiers;Banane
;Parmentier de bœuf à la purée de carottes;;Yaourt nature;Poire
Carottes râpées vinaigrette à l'orange;Parmentier de Bœuf au chou-fleur;;Fromage frais 1/2 sel;Madeleine longue
Carottes râpées vinaigrette;Parmentier de bœuf au chou-fleur;;Mélusin;Compote allégée de pomme-coing
Œuf dur mayonnaise;Parmentier de bœuf au chou-fleur;;Coulommiers;Cake Kolectou aux poires
Velouté de légumes verts;Parmentier de bœuf au chou-fleur;;Brie;Kaki
;Parmentier de bœuf au chou-fleur;;Yaourt aromatisé;Pomme Bio
;Parmentier de bœuf au chou-fleur;;Yaourt brassé sucré;Banane
Salade Iceberg vinaigrette ciboulette;Parmentier de bœuf au potiron;;Gouda;Liégeois au chocolat
;Parmentier de bœuf au potiron;;;Poire
Tomates vinaigrette crémeuse;Parmentier de bœuf au potiron;;Yaourt aromatisé;Poire
;Parmentier de bœuf au potiron;;Yaourt aux fruits mixés;Prune
Salade vinaigrette, œufs durs et croûtons;Parmentier de bœuf au potiron;;;Moelleux au chocolat
Tartine surimi-paprika;Parmentier de bœuf au potiron;;Saint Nectaire;Kiwi
Salade coleslaw;Parmentier de bœuf au potiron;;Vache Picon;Mousse au chocolat
Betteraves vinaigrette;Parmentier de bœuf aux brocolis;;Camembert;Banane
Salade Iceberg et croûtons;Parmentier de bœuf aux choux de Bruxelles;;Coulommiers;Beignet au chocolat
Tomates vinaigrette;Parmentier de bœuf aux choux de Bruxelles;;Fol Epi;Tarte au chocolat
Salade Iceberg et croûtons;Parmentier de bœuf aux choux de Bruxelles;;Carré;Liégeois au chocolat
Salade Iceberg;Parmentier de bœuf aux choux de Bruxelles;;Carré;Clafoutis ananas-coco
Salade Iceberg et croûtons;Parmentier de bœuf aux choux de Bruxelles;;Yaourt nature sucré Le P'tit Gallo;Banane
Bouillon alphabet;Parmentier de bœuf aux choux de Bruxelles;;Vache Picon;Banane
Salade verte vinaigrette et croûtons;Parmentier de bœuf charolais;;Yaourt aux fruits mixés;
Salade Iceberg vinaigrette aux 2 moutardes;Parmentier de canard;;Camembert;Dessert façon Mont Blanc
Potage aux fèves façon garbure;Parmentier de canard;;;Raisin
Rillettes de thon et pain de mie;Parmentier de canard haricot blanc et purée de légumes;;Carré;Poire
Potage fermier;Parmentier de colin;Salade vinaigrette;;Yaourt à la vanille
Carottes râpées vinaigrette à l'orange;Parmentier de colin à la patate douce;;Yaourt brassé sucré;
;Parmentier de Colin à l'huile d'olive;;Brie;Banane
Salade de mâche crumble noisette;Parmentier de colin d'Alaska à l'huile d'olive;;Yaourt à la vanille;
Salade vinaigrette et maïs;Parmentier de Colin d'Alaska à l'huile d'olive;;Yaourt aux fruits mixés;
Salade et dés de mimolette;Parmentier de Colin d'Alaska à l'huile d'olive;;;Flan nappé caramel
Bouillon alphabet + gruyère râpé;Parmentier de Colin d'Alaska aux carottes;;;Poire
Œuf dur mayonnaise;Parmentier de lentilles corail;;Yaourt Malo à la vanille;Nectarine
Velouté de potiron;Parmentier de lentilles corail et purée de patate douce;;;Clémentine
Salade Iceberg et croûtons;Parmentier de M.Verdier;;Coulommiers;Banane
Salade Iceberg et croûtons;Parmentier de poisson;;Petit filou;Poire
Salade Iceberg et croûtons;Parmentier de poisson;;P'tit Cabray;"Fruit de saison ""Banane"""
Concombre tzatziki;Parmentier de poisson;;Yaourt aux fruits mixés;Banane
Salade coleslaw;Parmentier de poisson;;Carré;Mousse au chocolat
Salade Iceberg;Parmentier de poisson;;Carré;Compote allégée pommes-vanille
Salade Iceberg et croûtons;Parmentier de poisson;;Mélusin;Yaourt aux fruits mixés
Salade iceberg;Parmentier de poisson;;Carré;Pomme
Tomates vinaigrette;Parmentier de poisson;;Coulommiers;Liégeois au chocolat
Tomates vinaigrette;Parmentier de poisson;;Coulommiers;Liégeois au chocolat
Tomates vinaigrette;Parmentier de poisson;;Coulommiers;Liégeois au chocolat
Potage de potiron;Parmentier de poisson;Salade vinaigrette;;Yaourt nature sucré
Salade Iceberg;Parmentier de poisson;;Brie;Raisin
;Parmentier de poisson;;Bûche mélange;Pêche
Tomate vinaigrette;Parmentier de poisson;;Fromage blanc sucré;Coulis de fruits rouges
Salade Iceberg, vinaigrette aux deux moutarde;Parmentier de poisson;;;Cake orange
Tomates vinaigrette;Parmentier de poisson;;Coulommiers;Liégeois au chocolat
Melon;Parmentier de poisson;;Gouda;Poire
Carottes râpées vinaigrette;Parmentier de poisson;;Carré;Mousse au chocolat
Salade verte et croûtons;Parmentier de poisson;;;Yaourt aux fruits mixés
Salade iceberg vinaigrette et croûtons;Parmentier de poisson;;"Yaourt  fraise ""Le P'tit Gallo""";
Salade Iceberg vinaigrette;Parmentier de poisson;;Yaourt bio framboise / abricot Yéo;
Potage Tourangelle;Parmentier de poisson;;Port Salut;Poire
Salade verte et croûtons;Parmentier de poisson;;Yaourt aux fruits mixés;
Salade verte;Parmentier de poisson;;Yaourt Malo vanille;
Salade verte vinaigrette;Parmentier de poisson;;Yaourt framboise/abricot;
Betteraves vinaigrette;Parmentier de poisson;;Cantal;Pêche
Salade Iceberg;Parmentier de poisson;;Yaourt framboise / abricot Yéo;
Salade vinaigrette et maïs;Parmentier de poisson  à l'huile d'olive;;;Yaourt aux fruits mixés
Salade Iceberg et emmental;Parmentier de poisson à l'huile d'olive;;Yaourt aux fruits mixés;Pomme
Carottes râpées vinaigrette;Parmentier de poisson à l'huile d'olive;;Carré;Clémentine
Salade Iceberg sauce au raifort;Parmentier de poisson à l'huile d'olive;;Fromage blanc;Banane
Concombre vinaigrette;Parmentier de poisson à l'huile d'olive;;Yaourt Malo à la vanille;Nectarine
Salade Iceberg et croûtons;Parmentier de poisson à l'huile d'olive;;Entremets au chocolat;Kiwi
Salade Iceberg;Parmentier de poisson à l'huile d'olive;;Gouda;Raisin
Potage de choux verts;Parmentier de poisson à l'huile d'olive;Salade verte;Yaourt à la vanille;
Carottes râpées à l'orange;Parmentier de poisson à l'huile d'olive;;Petit Filou;Ananas
Salade Iceberg et croûtons;Parmentier de poisson à l'huile d'olive;;Camembert;Compote allégée en sucre pommes-abricots
Salade iceberg et croûtons;Parmentier de poisson à l'huile d'olive;;Carré;Clémentine
Potage de carottes;Parmentier de poisson à l'huile d'olive;;Carré;Beignet aux pommes
Salade Iceberg et emmental;Parmentier de poisson à l'huile d'olive;;;Pomme
Salade Iceberg et emmental;Parmentier de poisson à l'huile d'olive;;;Liégeois au chocolat
Carottes râpées vinaigrette;Parmentier de poisson à l'huile d'olive;;;Yaourt Bio à la vanille
Salade Bio et mimolette;Parmentier de poisson à l'huile d'olive;;;Purée pomme-fraise
Melon;Parmentier de poisson à l'huile d'olive;;Camembert;Pêche
Tomates vinaigrette ciboulette;Parmentier de poisson à l'huile d'olive;;;Fraises et crème chantilly
Salade verte, emmental et croûtons;Parmentier de poisson à l'huile d'olive;;;Raisin
;Parmentier de poisson à l'huile d'olive;;Camembert;Banane
Salade vinaigrette;Parmentier de poisson à l'huile d'olive;;Yaourt à la vanille;
Salade vinaigrette et maïs;Parmentier de poisson à l'huile d'olive;;Yaourt aromatisé;
Salade et dés de Cantal AOP;Parmentier de poisson à l'huile d'olive;;;Crème dessert vanille
Salade verte vinaigrette et dés de Cantal;Parmentier de poisson à l'huile d'olive;;;Yaourt Bio à la vanille
Potage de chou-fleur bio à la vanille;Parmentier de poisson à l'huile d'olive;;;Yaourt nature sucré Bio
Salade Bio;Parmentier de poisson à l'huile d'olive;;;Yaourt Bio à la vanille
Velouté de potiron;Parmentier de poisson à l'huile d'olive;Salade verte Bio;;Yaourt aromatisé
Salade Bio vinaigrette;Parmentier de poisson à l'huile d'olive;Yaourt aromatisé;;
Salade vinaigrette;Parmentier de poisson à l'huile d'olive;;;Lacté vanille
Concombre vinaigrette;Parmentier de poisson à l'huile d'olive;;;Lacté vanille
Carottes râpées vinaigrette aux poivrons;Parmentier de poisson au potiron;;Carré;Muffin aux pépites de chocolat
Carottes râpées;Parmentier de poisson au potiron;;Coulommiers;Banane
Salade Iceberg et croûtons;Parmentier de poisson au potiron;;Mélusin;Mousse au chocolat
Salade Iceberg et croûtons;Parmentier de poisson au potiron;;Mélusin;Mousse au chocolat
Salade Iceberg et croûtons;Parmentier de poisson au potiron;;Yaourt nature sucré Le P'tit Gallo;Palmier façon Kouing Amann
Bouillon alphabet;Parmentier de poisson au potiron;;Carré;Mousse au chocolat
Velouté de patate douce et fromage frais;Parmentier de poisson au potiron;;;Clémentine Global Gap
;Parmentier de poisson aux carottes et aux pommes de terre;;Coulommiers;Pêche
;Parmentier de poisson aux carottes et pommes de terre;;Coulommiers;Pêche
Concombre et dés de mimolette;Parmentier de poisson blanc et saumon;;Yaourt bio myrtille;
Potage Darblay;Parmentier de poisson blanc et saumon;Salade verte;;Yaourt aux fruits mixés
Bouillon alphabet;Parmentier de potager;;P'tit Louis;Crème dessert chocolat
Concombre sauce fromage blanc;Parmentier de saumon;;Cantal;Banane
Betteraves vinaigrette;Parmentier de saumon, poisson blanc et brocolis;;Petit Filou;Crêpe
Salade Iceberg et croûtons;Parmentier de thon;;Coulommiers;Banane
Salade Iceberg et croûtons;Parmentier du potager;;Vache Qui Rit;Banane
Salade Iceberg vinaigrette aux deux moutardes;Parmentier du potager;;Brie;Charlotte
Velouté d'artichauts;Parmentier du potager;;Emmental;Compote de mangue
Salade Iceberg et croûtons;Parmentier du potager;;Fol Epi;Mousse au chocolat
Salade Iceberg et croûtons;Parmentier du potager;;Gouda;Mousse au chocolat
Salade de coquillettes au thon;Parmentier du potager;;Camembert;Compote allégée de pommes
Tomates vinaigrette au basilic;Parmentier du potager;;Camembert;Liégeois au chocolat
Salade Bio et mozzarella;Parmentier végétal;;;Crème dessert chocolat-noisette
Betteraves vinaigrette et tartine de fromage frais;Parmentier végétal de potiron, lentilles, corail, citronnelle et coco;;;Banane
Salade verte vinaigrette;Parmentier végétarien;;Cantal;Brioche perdue sauce chocolat
Salade verte et croûtons;Parmentier végétarien;;Gouda;Ile flottante
Tomate vinaigrette;Parmentier Vitelotte de Colin;;Fromage blanc sucré;Coulis de fruits rouges
Tomates mozzarella vinaigrette balsamique;Pâtes alla carbonara;;Gouda;Panna cotta aux fruits rouges
Salade verte et fonds d'artichauts vinaigrette aux herbes;Pâtes aux fèves sauce tomate;;Tomme de brebis;Cake ricotta et pépites de chocolat
Tomates Bio vinaigrette;Pâtes bio carbonara et emmental râpé;;;Purée de poire
;Pâtes macaronis semi-complètes Bio à la milanaise;;Camembert;Banane Bio Commerce Equitable
Concombre et crème paprika;Pâtes sauce aux trois fromages;Ratatouille;;Muffin
Tartine thon-ciboulette;Paupiette de veau;Petits pois;Flan nappé caramel;Banane
Carottes, choux verts et pommes;Pavé de colin sauce aurore;Boulgour;Yaourt nature sucré;
Cake chèvre épinards;Pavé de colin sauce basilic;Semoule;Yaourt Malo à la vanille;Pomme
Carottes râpées vinaigrette;Pavé de colin sauce crème;Tortis;Fromage blanc;Poire
Carottes râpées à l'orange;Pavé de merlu aux légumes;Riz créole;Saint Paulin;Compote de pommes allégée
Concombres vinaigrette;Pavé de merlu sauce persane;Tortis;Rondelé ail et fines herbes;Compote allégée de pomme framboise
Carottes râpées vinaigrette passion et dés de mimolette;Penne à la ratatouille, aux lentilles corail et emmental râpé;;;Tarte au chocolat
Melon;Penne aux carottes, sauce fromage fondu Vache Qui Rit;;;Dessert lacté saveur chocolat
Tomate mozzarella, vinaigrette basilic;Penne façon carbonara;Penne;Fromage frais Straciatella;
Velouté de légumes;Penne sauce aux 3 fromages;;;Kiwi
Carottes râpées vinaigrette;Penne sauce lentilles corail;Purée de patate douce;Camembert;Ile flottante
Œuf dur mayonnaise;Penne sauce potiron, carottes, mozzarella;;Yaourt Malo à la vanille;Petit Beurre
Tartine du potager;Penne sauce tomate et lentilles vertes façon bolognaise;;Cantal;Beignet chocolat/noisette
Carottes râpées;Penne sauce tomates et lentilles corail;;Gouda;Cake nature
Carottes râpées vinaigrette passion;Penne semi complète sauce 3 fromages;;;Yaourt brassé sucré
Concombre et rondelles de radis vinaigrette au miel;Penne semi-complète à la bolognaise végétale;;;Yaourt nature sucré
Concombre et rondelles de radis vinaigrette au miel;Penne semi-complète à la bolognaise végétale;;;Yaourt nature sucré
;Penne semi-complète Bio sauce 3 fromages.;;Fromage frais aux fruits;Nectarine
Cake épinard pesto;Penne semi-complete sauce aux 3 fromages;;;Melon
Melon;Penne semi-complète sauce aux 3 fromages;;;Muffin aux pépites de chocolat
Salade Iceberg vinaigrette;Penne semi-complète sauce pois chiche, épinards, sauce tandoori;;Gouda;Cake aux épices et crème fouettée
Pastèque;Penne semi-complète, tomate, lentilles corail;;Saint-Nectaire;Gâteau aux myrtilles
Tomates vinaigrette basilic;Penne semi-complètes à la mexicaine (haricots rouges);Penné semi-complète;Cantal;Glace
Tomates vinaigrette basilic;Penne semi-complètes à la mexicaine (haricots rouges);Penné semi-complète;Cantal;Glace
Salade vinaigrette;Penne semi-complètes sauce aux 3 fromages;;;Ile flottante
Betteraves  vinaigrette;Penne semi-complètes sauce lardons;Penne semi-complète;Gouda;Fraises
Radis et beurre;Penne semi-complètes sauce tomate et lentilles corail;;Crème dessert chocolat Le P'tit Gallo;
Carottes vinaigrette passion;Pennes semi-complètes sauce 3 fromages;;;Ile flottante
Betterave vinaigrette;Pennes semi-complètes sauce 3 fromages;;;Lacté vanille
Betteraves vinaigrette;Penne-semi complète sauce lardons;;Gouda;Fraises
Salade Iceberg;Pizza;;Yaourt nature et sucre;
Salade Iceberg vinaigrette;Pizza;;Yaourt Le P'tit Gallo;
Salade Iceberg;"Pizza ""Tour de Pizz""";;Lacté chocolat;Biscuit éventail
Salade Iceberg;"Pizza ""tour de Pizz""";;Yaourt aux fruits mixés;Fraises
Salade Iceberg;"Pizza ""tour de Pizz""";;Yaourt aux fruits mixés;Abricots
Salade iceberg;"Pizza ""Tour de Pizz""";;Crème Malo au chocolat;Kiwi
Salade Iceberg;"Pizza ""Tour de Pizz""";;Compote allégée en sucre pommes-framboises;Biscuit russe
Pastèque;"Pizza ""tour de Pizz'""";;Yaourt aux fruits mixés;Pêche
Pastèque;"Pizza ""tour de Pizz'""";;Yaourt aux fruits mixés;Pêche
Salade verte;Pizza (émincé de poulet, sauce tomate, fromage);;Fromage blanc nature et sucre;
Velouté de légumes et fromage frais;Pizza au 3 fromages;;;Poire
Salade Iceberg;Pizza au fromage;;Yaourt nature sucré Le P'tit Gallo;Kiwi
;Pizza au thon;;Camembert;Pomme
Salade Iceberg;Pizza aux 3 fromages;;Yaourt nature sucré Vrai;Nectarine
Salade Iceberg;Pizza aux 3 fromages;;Yaourt aux fruits mixés;Banane
Salade Iceberg;Pizza aux 3 fromages;;Yaourt aromatisé;Nectarine
Pastèque;Pizza aux 3 fromages;;;Compote pomme / rhubarbe
Salade Iceberg;Pizza aux 3 fromages;;Yaourt nature sucré Vrai;Clémentine
Salade Iceberg;Pizza aux 3 fromages;;Yaourt nature sucré Le P'tit Gallo;Kiwi jaune
Concombre vinaigrette;Pizza aux 3 fromages;;;Dessert lacté saveur chocolat
Salade vinaigrette et maïs;Pizza aux 3 fromages;;;Yaourt aromatisé
Coleslaw sauce cocktail;Pizza aux 3 fromages;;Yaourt aromatisé;
Potage carottes/lentilles corail;Pizza aux 3 fromages;Salade vinaigrette;;Purée de pommes
Tomates mozzarella;Pizza aux 3 fromages;;;Glace
Potage fermier;Pizza aux 3 fromages;Salade verte vinaigrette;;Purée pomme
Velouté de potiron;Pizza aux 3 fromages;Salade vinaigrette;;Purée de pommes
Salade arc en ciel;Pizza aux 3 fromages;;;Ile flottante
Lentilles à l'échalote;Pizza aux 3 fromages;;;Pomme
Velouté de potiron;Pizza aux 3 fromages;Salade vinaigrette;;Purée de poire
Tomate, œuf et maïs;Pizza aux 3 fromages;;;Lacté chocolat
Salade Iceberg;Pizza aux fromages;;Yaourt Malo à la vanille;"Fruit de saison ""Raisin"""
Salade Iceberg;Pizza aux fromages;;Petit Filou;Cerises
Salade Iceberg;Pizza aux fromages;;Petit Filou;Cerises
Betteraves vinaigrette;Pizza aux fromages et pommes de terre;;Petit Filou;Clémentine
Salade Iceberg et croûtons;Pizza aux lardons;;Yaourt nature sucré;Cerises
Salade;Pizza aux trois fromage;;Yaourt à la vanille;
Potage de chou-fleur et vanille;Pizza aux trois fromages;;Yaourt aromatisé;Pomme
Salade Iceberg et croûtons;Pizza aux trois fromages;;Fromage blanc;Muesli croustillant
Salade Iceberg;Pizza aux trois fromages;;Yaourt nature sucré Le P'tit Gallo;Pomme
Salade Bio, œuf Bio et maïs;Pizza aux trois fromages;;;Yaourt aux fruits mixés
Tomates vinaigrette au miel et à la moutarde à l'ancienne;Pizza aux trois fromages;;;Purée pomme-fraise
Salade;Pizza aux trois fromages;;Yaourt à la vanille;
Potage Fermier;Pizza aux trois fromages;Salade verte  Bio;;Compote de pommes-cassis allégée en sucre
Velouté de légumes verts;Pizza aux trois fromages;Salade Bio;;Purée de pommes
Potage breton;Pizza aux trois fromages;Salade;;Purée de pommes
Velouté de lentilles corail et carottes;Pizza aux trois fromages;;;Pomme
Salade verte vinaigrette;Pizza aux trois fromages;;;Purée pomme-pêche
Salade iceberg et croûtons;Pizza façon kebab;;Yaourt Malo à la vanille;Clémentine
Mâche et betteraves vinaigrette crémeuse à la ciboulette;Pizza fromage-pommes de terre;;Compote allégée pomme-poire;Spéculoos
Pastèque;Pizza Kebab;;Petit Filou;Pêche
Salade iceberg;Pizza kebab;;Yaourt aromatisé;Kiwi
Salade Iceberg;Pizza kebab;;Yaourt nature sucré Vrai;Poire
Salade Iceberg;Pizza kebab;;Yaourt au fruits mixés;Banane
Houmous pain pita;Pizza Kebab;;;Orange Global Gap
Salade Iceberg et vinaigrette crémeuse;Pizza poulet-fromage;;Petit Suisse;Kiwi
Salade et dés d'emmental;Pois chiche légumes et céréales Kasha;;;Cake aux pépites de chocolat
Salade Bio et dés d'emmental;Pois chiches, semoule Bio et légumes;;;Gâteau à la patate douce
Betteraves vinaigrette;Poisson  du marché sauce crème;Haricots plats / Boulgour;Port-Salut;Orange
Œufs durs mayonnaise;Poisson de marché sauce crème;Haricots beurre;Carré;Glace vanille-fraise
Œufs durs mayonnaise;Poisson de marché sauce crème;Haricots beurre;Carré;Glace vanille-fraise
Pastèque;Poisson de marché sauce persane;Carottes;;Semoule au lait
Carottes râpées à la vanille;Poisson de marché sauce Retour des Indes;Semoule;Gouda;Crêpe
Velouté potiron châtaigne;Poisson du  marché sauce crème;Purée de pommes de terre;Yaourt aux fruits mixés;
;Poisson du marché beurre blanc;Riz;Fromage frais aux fruits;Clémentine
Tomates vinaigrette;Poisson du marché et citron;Riz;Yaourt aux fruits mixés;
Carottes râpées;Poisson du marché et citron;Purée de potiron;Yaourt nature sucré;
Chou blanc aux pommes;Poisson du marché et citron;Riz;Fromage frais aux fruits;
Concombre vinaigrette;Poisson du marché et citron;Pomme dauphine;Yaourt Malo vanille;
;Poisson du marché façon Zarzuela;Haricots plats et riz;Tomme noire des Pyrénées;Fruit
Gaspacho tomate-poivron;Poisson du marché façon zarzuela;Riz;Montboissier;Orange
Carottes râpées;Poisson du marché façon zarzuela;Quinoa;Yaourt nature sucré Les Vergers;
Potage de potiron;Poisson du marché sauce beurre blanc;Semoule;Gouda;Liégeois au chocolat
Melon;Poisson du marché sauce beurre blanc;Purée de courgettes;Fromage blanc sucré;
Carottes râpées vinaigrette passion et dés d'emmental;Poisson du marché sauce beurre blanc;Chou et Pommes de terre;;Brioche perdue et confiture de fraise
Tomates vinaigrette crémeuse;Poisson du marché sauce beurre blanc;Riz;Coulommiers;Poire
Salade verte et dés de Cantal;Poisson du marché sauce Beurre Blanc;Tortis Bio;;Yaourt aromatisé
Tomates vinaigrette;Poisson du marché sauce beurre blanc;Riz;Saint-Moret;Pêche
Carottes râpées à l'orange;Poisson du marché sauce beurre blanc;Riz;Carré;Poire
Potage de potiron;Poisson du marché sauce beurre blanc;Semoule;Gouda;Liégeois au chocolat
Carottes râpées vinaigrette à l'orange;Poisson du marché sauce beurre blanc;Riz aux petits légumes;;Yaourt aux fruits mixés
Salade et Emmental;Poisson du marché sauce bourride;Riz;Yaourt aux fruits mixés;
